feature_id,missing_count,missing_rate
Heregulin-R-V,0,0.0
HSP70-R-C,0,0.0
IGFBP2-R-V,0,0.0
INPP4B-R-V,264,0.7394957983193278
IRS1-R-V,0,0.0
JNK_pT183_pY185-R-V,0,0.0
JNK2-R-C,0,0.0
Ku80-R-C,0,0.0
Lck-R-V,0,0.0
LKB1-M-E,0,0.0
MAPK_pT202_Y204-R-V,0,0.0
MEK1-R-V,0,0.0
MEK1_pS217_S221-R-V,0,0.0
MIG-6-M-V,0,0.0
Mre11-R-C,0,0.0
MSH2-M-V,0,0.0
MSH6-R-C,0,0.0
mTOR-R-V,0,0.0
mTOR_pS2448-R-C,0,0.0
MYH11-R-V,0,0.0
Myosin-IIa_pS1943-R-V,0,0.0
N-Cadherin-R-V,0,0.0
N-Ras-M-V,0,0.0
NDRG1_pT346-R-V,0,0.0
NF-kB-p65_pS536-R-C,0,0.0
NF2-R-C,0,0.0
Notch1-R-V,0,0.0
P-Cadherin-R-C,0,0.0
p21-R-V,0,0.0
p27-R-V,0,0.0
p27_pT157-R-C,0,0.0
p27_pT198-R-V,0,0.0
p38_MAPK-R-V,0,0.0
p38_pT180_Y182-R-V,0,0.0
p53-R-E,0,0.0
p62-LCK-ligand-M-C,0,0.0
p70S6K-R-V,0,0.0
p70S6K_pT389-R-V,0,0.0
p90RSK-R-C,0,0.0
p90RSK_pT359_S363-R-C,0,0.0
PAI-1-M-E,0,0.0
PARP_cleaved-M-E,0,0.0
Paxillin-R-C,0,0.0
PCNA-M-C,0,0.0
PDCD4-R-C,0,0.0
PDK1-R-V,0,0.0
PDK1_pS241-R-V,0,0.0
PEA15-R-V,0,0.0
PEA15_pS116-R-V,0,0.0
PI3K-p110-alpha-R-C,0,0.0
PI3K-p85-R-V,0,0.0
PKC-alpha-M-V,0,0.0
PKC-alpha_pS657-R-C,0,0.0
PKC-delta_pS664-R-V,0,0.0
PKC-pan_BetaII_pS660-R-V,0,0.0
PR-R-V,0,0.0
PRAS40_pT246-R-V,0,0.0
PRDX1-R-V,0,0.0
PREX1-R-E,0,0.0
PTEN-R-V,0,0.0
Rab11-R-E,0,0.0
Rab25-R-V,0,0.0
Rad50-M-V,0,0.0
Rad51-R-V,264,0.7394957983193278
Raptor-R-V,0,0.0
Rb-M-E,0,0.0
Rb_pS807_S811-R-V,0,0.0
RBM15-R-V,0,0.0
Rictor-R-C,0,0.0
Rictor_pT1135-R-V,0,0.0
S6-R-E,0,0.0
S6_pS235_S236-R-V,0,0.0
S6_pS240_S244-R-V,0,0.0
SCD-M-V,0,0.0
SETD2-R-E,0,0.0
SF2-M-V,0,0.0
Shc_pY317-R-E,0,0.0
Smac-M-E,0,0.0
Smad1-R-V,0,0.0
Smad3-R-V,0,0.0
Smad4-M-V,0,0.0
Snail-M-E,0,0.0
Src-M-V,0,0.0
Src_pY416-R-C,0,0.0
Src_pY527-R-V,0,0.0
STAT3_pY705-R-V,0,0.0
STAT5-alpha-R-V,0,0.0
Stathmin-R-V,0,0.0
Syk-M-V,0,0.0
TAZ-R-V,0,0.0
TIGAR-R-V,0,0.0
Transglutaminase-M-V,0,0.0
TFRC-R-V,0,0.0
TSC1-R-C,0,0.0
TTF1-R-V,0,0.0
Tuberin-R-E,0,0.0
Tuberin_pT1462-R-V,0,0.0
VEGFR2-R-V,0,0.0
EPPK1-M-E,0,0.0
XBP1-G-C,0,0.0
XRCC1-R-E,264,0.7394957983193278
YAP-R-E,0,0.0
YAP_pS127-R-E,0,0.0
YB-1-R-V,0,0.0
YB-1_pS102-R-V,0,0.0
JAB1-M-C,0,0.0
PARP1-R-V,264,0.7394957983193278
A-Raf-R-V,0,0.0
ARID1A-R-C,0,0.0
B-Raf_pS445-R-V,0,0.0
Bcl2A1-R-V,0,0.0
BRD4-R-V,0,0.0
c-Abl-R-V,0,0.0
Caspase-3-R-C,0,0.0
CD26-R-V,0,0.0
Chk1_pS296-R-V,0,0.0
COG3-R-V,0,0.0
DUSP4-R-V,0,0.0
ERCC5-R-C,0,0.0
IGF1R_pY1135_Y1136-R-V,0,0.0
IRF-1-R-C,0,0.0
Jak2-R-V,0,0.0
p16_INK4a-R-V,0,0.0
SHP-2_pY542-R-C,0,0.0
CDK1_pY15-R-C,0,0.0
53BP1-R-C,93,0.2605042016806723
Bak-R-E,93,0.2605042016806723
C-Raf_pS338-R-E,93,0.2605042016806723
Chk1-R-E,93,0.2605042016806723
Chk2_pT68-R-E,93,0.2605042016806723
INPP4B-G-E,93,0.2605042016806723
Rad51-M-E,93,0.2605042016806723
XRCC1-R-C,93,0.2605042016806723
